AA799301_PROBE1	AA799301	Lgtn protein (DBSS)
M60786_PROBE1	M60786	endothelin receptor type A
M61142_PROBE1	M61142	thimet oligopeptidase 1
M61219_PROBE1	M61219	prohibitin
M61726_PROBE1	M61726	upstream binding transcription factor, RNA polymerase I
M62388_PROBE1	M62388	ubiquitin conjugating enzyme
M62763_PROBE1	M62763	sterol carrier protein 2
M62832_PROBE1	M62832	plasminogen
M63122_PROBE1	M63122	tumor necrosis factor receptor superfamily, member 1a
M63282_PROBE1	M63282	activating transcription factor 3
M63574_PROBE1	M63574	selenoprotein P, plasma, 1
M63991_PROBE1	M63991	serine (or cysteine) proteinase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 7
M64300_PROBE1	M64300	mitogen activated protein kinase 1
M64301_PROBE1	M64301	mitogen-activated protein kinase 6
M64376_PROBE1	M64376	olfactory receptor gene Olr1078
M64381_PROBE1	M64381	olfactory receptor gene Olr1082
M64391_PROBE1	M64391	olfactory receptor gene Olr1500
M64711_PROBE1	M64711	endothelin 1
M64780_PROBE1	M64780	agrin
M65148_PROBE1	M65148	activating transcription factor 2
M69056_PROBE1	M69056	farnesyltransferase, CAAX box, beta
M69138_PROBE1	M69138	Nuclease sensitive element binding protein 1 (Non-specific probe)
M69246_PROBE1	M69246	serine (or cysteine) proteinase inhibitor, clade H, member 1
M73486_PROBE1	M73486	growth hormone releasing hormone
M73714_PROBE1	M73714	aldehyde dehydrogenase family 3, subfamily A2
M73808_PROBE1	M73808	phosphorylase kinase, gamma 2 (testis)
M74067_PROBE1	M74067	claudin 3
M74716_PROBE1	M74716	adrenergic receptor, beta 3
M75148_PROBE1	M75148	kinesin light chain 1
M75153_PROBE1	M75153	RAB11a, member RAS oncogene family
M76591_PROBE1	M76591	phosphoglycerate mutase 1
M77246_PROBE1	M77246	adaptor-related protein complex 2, beta 1 subunit
M77362_PROBE1	M77362	anti-idiotype immunoglobulin M light chain (Rn.) (DBSS_weak) (Non-specific probe)
M77479_PROBE1	M77479	solute carrier family 10 (sodium/bile acid cotransporter family), member 1
M80367_PROBE1	M80367	guanylate binding protein 2, interferon-inducible
M80550_PROBE1	M80550	adenylyl cyclase 2
M80601_PROBE1	M80601	programmed cell death 2
M81639_PROBE1	M81639	stannin
M81642_PROBE1	M81642	coagulation factor II (thrombin) receptor
M81681_PROBE1	M81681	biliverdin reductase A
M81687_PROBE1	M81687	syndecan 2
M81766_PROBE1	M81766	retinoid X receptor beta
M81784_PROBE1	M81784	potassium voltage-gated channel, subfamily G, member 1
M83107_PROBE1	M83107	transgelin
M83196_PROBE1	M83196	microtubule-associated protein 1 A
M83209_PROBE1	M83209	parotid secretory protein
M83560_PROBE1	M83560	glutamate receptor, ionotropic, kainate 1
M83675_PROBE1	M83675	mel transforming oncogene (derived from cell line NK14)- RAB8 homolog
M83676_PROBE1	M83676	RAB12, member RAS oncogene family
M83679_PROBE1	M83679	RAB15, member RAS onocogene family
M84009_PROBE1	M84009	dopamine receptor 4
M84203_PROBE1	M84203	potassium voltage gated channel, Shaw-related subfamily, member 2
M84416_PROBE1	M84416	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, epsilon polypeptide
M84488_PROBE1	M84488	vascular cell adhesion molecule 1
M84719_PROBE1	M84719	flavin containing monooxygenase 1
M85183_PROBE1	M85183	angiotensin/vasopressin receptor
M85299_PROBE1	M85299	solute carrier family 9, member 1
M86235_PROBE1	M86235	ketohexokinase
M86443_PROBE1	M86443	hypoxanthine guanine phosphoribosyl transferase
M86705_PROBE1	M86705	ADP-ribosylation factor 4
M86870_PROBE1	M86870	protein disulfide isomerase related protein (calcium-binding protein, intestinal-related)
M87053_PROBE1	M87053	lens intrinsic membrane protein 2, 19kDa
M87067_PROBE1	M87067	activin receptor IIB
M88096_PROBE1	M88096	cholecystokinin A receptor
M88469_PROBE1	M88469	f-spondin
M88592_PROBE1	M88592	peroxisome proliferator activated receptor alpha
M88709_PROBE1	M88709	opioid-binding protein/cell adhesion molecule-like
M90661_PROBE1	M90661	insulin receptor-related receptor
M91214_PROBE1	M91214	adenosine A2a receptor
M91563_PROBE1	M91563	glutamate receptor, ionotropic, NMDA2C
M91597_PROBE1	M91597	nucleoside diphosphate kinase
M92042_PROBE1	M92042	N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 1
M92076_PROBE1	M92076	glutamate receptor, metabotropic 3
M92340_PROBE1	M92340	interleukin 6 signal transducer
M93271_PROBE1	M93271	branched chain keto acid dehydrogenase kinase
M94040_PROBE1	M94040	branched chain keto acid dehydrogenase E1, beta polypeptide
M94043_PROBE1	M94043	Rab38, member of RAS oncogene family
M94064_PROBE1	M94064	methyl CpG binding protein 2
M94454_PROBE1	M94454	mitogen-activated protein kinase kinase kinase 8
M94548_PROBE1	M94548	cytochrome P450 4F6
M95058_PROBE1	M95058	steroid 5-alpha-reductase 2
M95738_PROBE1	M95738	solute carrier family 6 (neurotransmitter transporter, GABA), member 11
M95762_PROBE1	M95762	solute carrier family 6 (neurotransmitter transporter, GABA), member 13
M95768_PROBE1	M95768	chitobiase, di-N-acetyl-
M95780_PROBE1	M95780	guanine nucleotide binding protein (G protein), gamma 5 subunit
M96548_PROBE1	M96548	zinc finger protein 354A
M96674_PROBE1	M96674	glucagon receptor
M97380_PROBE1	M97380	solute carrier family 18 (vesicular monoamine), member 1
M97662_PROBE1	M97662	ureidopropionase, beta
M97754_PROBE1	M97754	sialyltransferase 6 (N-acetyllacosaminide alpha 2,3-sialyltransferase)
M98820_PROBE1	M98820	interleukin 1 beta
NM_012489_PROBE1	NM_012489	acetyl-Coenzyme A acyltransferase 1 (peroxisomal 3-oxoacyl-Coenzyme A thiolase)
NM_012491_PROBE1	NM_012491	adducin 2 (beta)
NM_012492_PROBE1	NM_012492	adrenergic receptor, beta 2
NM_012493_PROBE1	NM_012493	alpha-fetoprotein
NM_012497_PROBE1	NM_012497	aldolase C, fructose-biphosphate
NM_012498_PROBE1	NM_012498	Aldehyde reductase 1 (low Km aldose reductase) (5.8 kb PstI fragment, probably the functional gene)
NM_012499_PROBE1	NM_012499	adenomatosis polyposis coli
NM_012500_PROBE1	NM_012500	N-acylaminoacyl-peptide hydrolase
NM_012501_PROBE1	NM_012501	apolipoprotein C-III
NM_012503_PROBE1	NM_012503	asialoglycoprotein receptor 1
NM_012505_PROBE1	NM_012505	ATPase, Na+K+ transporting, alpha 2
NM_012514_PROBE1	NM_012514	breast cancer 1
NM_012515_PROBE1	NM_012515	benzodiazepin receptor
NM_012516_PROBE1	NM_012516	complement component 4 binding protein, alpha
NM_012521_PROBE1	NM_012521	calbindin 3, (vitamin D-dependent calcium binding protein)
NM_012522_PROBE1	NM_012522	cystathionine beta synthase
NM_012523_PROBE1	NM_012523	CD53 antigen
NM_012524_PROBE1	NM_012524	CCAAT/enhancer binding protein (C/EBP), alpha
NM_012526_PROBE1	NM_012526	chromogranin B
NM_012527_PROBE1	NM_012527	cholinergic receptor, muscarinic 3
NM_012528_PROBE1	NM_012528	cholinergic receptor, nicotinic, beta polypeptide 1 (muscle)
NM_012530_PROBE1	NM_012530	creatine kinase, muscle
NM_012532_PROBE1	NM_012532	ceruloplasmin
NM_012533_PROBE1	NM_012533	carboxypeptidase B1
NM_012542_PROBE1	NM_012542	Cytochrome P450, subfamily IIA (phenobarbital-inducble)/ (Cytochrome P450 IIA3)
NM_012543_PROBE1	NM_012543	D site albumin promoter binding protein
NM_012545_PROBE1	NM_012545	dopa decarboxylase
NM_012549_PROBE1	NM_012549	endothelin 2
NM_012551_PROBE1	NM_012551	early growth response 1
NM_012552_PROBE1	NM_012552	elastase 1, pancreatic
NM_012553_PROBE1	NM_012553	elastase 2
NM_012555_PROBE1	NM_012555	v-ets erythroblastosis virus E26 oncogene homolog 1 (avian)
NM_012556_PROBE1	NM_012556	fatty acid binding protein 1, liver
NM_012557_PROBE1	NM_012557	Fanconi anemia, complementation group C
NM_012558_PROBE1	NM_012558	fructose-1,6- biphosphatase 1
NM_012561_PROBE1	NM_012561	follistatin
NM_012562_PROBE1	NM_012562	fucosidase, alpha-L- 1, tissue
NM_012563_PROBE1	NM_012563	glutamate decarboxylase 2
NM_012564_PROBE1	NM_012564	group specific component
NM_012565_PROBE1	NM_012565	glucokinase
NM_012567_PROBE1	NM_012567	gap junction membrane channel protein alpha 1
NM_012568_PROBE1	NM_012568	glycine receptor, alpha 2 subunit
NM_012571_PROBE1	NM_012571	glutamate oxaloacetate transaminase 1
NM_012575_PROBE1	NM_012575	glutamate receptor, ionotropic, NMDA2C
NM_012578_PROBE1	NM_012578	H1 histone family, member 0
NM_012579_PROBE1	NM_012579	histone 1, H1t
NM_012580_PROBE1	NM_012580	heme oxygenase (decycling) 1
NM_012581_PROBE1	NM_012581	homeo box A2
NM_012582_PROBE1	NM_012582	haptoglobin
NM_012584_PROBE1	NM_012584	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase
NM_012586_PROBE1	NM_012586	islet amyloid polypeptide
NM_012587_PROBE1	NM_012587	integrin binding sialoprotein
NM_012588_PROBE1	NM_012588	insulin-like growth factor binding protein 3
NM_012590_PROBE1	NM_012590	inhibin alpha
NM_012591_PROBE1	NM_012591	interferon regulatory factor 1
NM_012592_PROBE1	NM_012592	isovaleryl coenzyme A dehydrogenase
NM_012594_PROBE1	NM_012594	lactalbumin, alpha
NM_012595_PROBE1	NM_012595	lactate dehydrogenase B
NM_012597_PROBE1	NM_012597	lipase, hepatic
NM_012599_PROBE1	NM_012599	mannose binding lectin 2, protein C
NM_012600_PROBE1	NM_012600	malic enzyme 1
NM_012601_PROBE1	NM_012601	N-methylpurine-DNA glycosylase
NM_012603_PROBE1	NM_012603	v-myc avian myelocytomatosis viral oncogene homolog
NM_012605_PROBE1	NM_012605	myosin, light polypeptide 2
NM_012606_PROBE1	NM_012606	myosin, light polypeptide 3
NM_012608_PROBE1	NM_012608	membrane metallo endopeptidase
NM_012609_PROBE1	NM_012609	neurofibromatosis 1
NM_012610_PROBE1	NM_012610	nerve growth factor receptor (TNFR superfamily, member 16)
NM_012613_PROBE1	NM_012613	natriuretic peptide receptor 1
NM_012614_PROBE1	NM_012614	neuropeptide Y
NM_012618_PROBE1	NM_012618	S100 calcium-binding protein A4
NM_012619_PROBE1	NM_012619	phenylalanine hydroxylase
NM_012621_PROBE1	NM_012621	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 1
NM_012624_PROBE1	NM_012624	pyruvate kinase, liver and RBC
NM_012625_PROBE1	NM_012625	pro-melanin-concentrating hormone
NM_012627_PROBE1	NM_012627	protein kinase (cAMP dependent, catalytic) inhibitor beta
NM_012629_PROBE1	NM_012629	prolactin
NM_012633_PROBE1	NM_012633	peripherin 1
NM_012634_PROBE1	NM_012634	phosphoribosyl pyrophosphate synthetase 2
NM_012636_PROBE1	NM_012636	parathyroid hormone-like peptide
NM_012639_PROBE1	NM_012639	murine leukemia viral (v-raf-1) oncogene homolog 1 (3611-MSV)
NM_012651_PROBE1	NM_012651	solute carrier family 4, member 1
NM_012653_PROBE1	NM_012653	solute carrier family 9, member 2
NM_012654_PROBE1	NM_012654	solute carrier family 9, member 3
NM_012655_PROBE1	NM_012655	Sp1 transcription factor
NM_012657_PROBE1	NM_012657	Serine protease inhibitor
NM_012659_PROBE1	NM_012659	somatostatin
NM_012661_PROBE1	NM_012661	steroid sulfatase
NM_012665_PROBE1	NM_012665	synaptotagmin 2
NM_012666_PROBE1	NM_012666	tachykinin 1
NM_012667_PROBE1	NM_012667	tachykinin receptor 1
NM_012668_PROBE1	NM_012668	tyrosine aminotransferase
NM_012669_PROBE1	NM_012669	transcription factor 1
NM_012670_PROBE1	NM_012670	t-complex protein 1
NM_012671_PROBE1	NM_012671	transforming growth factor alpha
NM_012674_PROBE1	NM_012674	Serine protease inhibitor, Kazal type 1 (Non-specific probe)
NM_012676_PROBE1	NM_012676	troponin T2, cardiac
NM_012678_PROBE1	NM_012678	tropomyosin 4
NM_012679_PROBE1	NM_012679	clusterin
NM_012680_PROBE1	NM_012680	tuberous sclerosis 2
NM_012682_PROBE1	NM_012682	uncoupling protein 1
NM_012685_PROBE1	NM_012685	vasoactive intestinal peptide receptor 1
NM_012687_PROBE1	NM_012687	thromboxane A synthase 1
NM_012689_PROBE1	NM_012689	estrogen receptor 1
NM_012693_PROBE1	NM_012693	cytochrome P450, subfamily 2A, polypeptide 1
NM_012694_PROBE1	NM_012694	solute carrier family 6 (neurotransmitter transporter, dopamine), member 3
NM_012698_PROBE1	NM_012698	dystrophin
NM_012699_PROBE1	NM_012699	DnaJ (Hsp40) homolog, subfamily B, member 9
NM_012700_PROBE1	NM_012700	syntaxin 1B2
NM_012701_PROBE1	NM_012701	adrenergic receptor, beta 1
NM_012702_PROBE1	NM_012702	carcinoembryonic antigen-related cell adhesion molecule 3
NM_012704_PROBE1	NM_012704	prostaglandin E receptor 3 (subtype EP3)
NM_012705_PROBE1	NM_012705	CD4 antigen
NM_012707_PROBE1	NM_012707	glucagon
NM_012708_PROBE1	NM_012708	proteosome (prosome, macropain) subunit, beta type 9
NM_012715_PROBE1	NM_012715	adrenomedullin
NM_012716_PROBE1	NM_012716	solute carrier family 16 (monocarboxylic acid transporters), member 1
NM_012720_PROBE1	NM_012720	myelin-associated oligodendrocytic basic protein
NM_012721_PROBE1	NM_012721	purinergic receptor P2X-like 1, orphan receptor
NM_012725_PROBE1	NM_012725	kallikrein B, plasma 1
NM_012728_PROBE1	NM_012728	glucagon-like peptide 1 receptor
NM_012733_PROBE1	NM_012733	retinol binding protein 1, cellular
NM_012734_PROBE1	NM_012734	hexokinase 1
NM_012735_PROBE1	NM_012735	hexokinase 2
NM_012738_PROBE1	NM_012738	apolipoprotein A-I
NM_012739_PROBE1	NM_012739	adrenergic receptor, alpha 2a
NM_012742_PROBE1	NM_012742	forkhead box A1
NM_012743_PROBE1	NM_012743	forkhead box A2
NM_012744_PROBE1	NM_012744	Pyruvate carboxylase
NM_012745_PROBE1	NM_012745	killer cell lectin-like receptor, subfamily D, member 1
NM_012747_PROBE1	NM_012747	signal transducer and activator of transcription 3
NM_012749_PROBE1	NM_012749	nucleolin
NM_012750_PROBE1	NM_012750	glial cell line derived neurotrophic factor family receptor alpha 2
NM_012751_PROBE1	NM_012751	solute carrier family 2 (facilitated glucose transporter), member 4
NM_012757_PROBE1	NM_012757	MAS1 oncogene
NM_012758_PROBE1	NM_012758	spleen tyrosine kinase
NM_012760_PROBE1	NM_012760	pleiomorphic adenoma gene-like 1
NM_012761_PROBE1	NM_012761	Sp4 transcription factor
NM_012763_PROBE1	NM_012763	protein tyrosine phosphatase alpha
NM_012764_PROBE1	NM_012764	GATA binding protein 1
NM_012768_PROBE1	NM_012768	dopamine receptor 5
NM_012770_PROBE1	NM_012770	guanylate cyclase 1, soluble, beta 2
NM_012771_PROBE1	NM_012771	lysozyme
NM_012773_PROBE1	NM_012773	A kinase (PRKA) anchor protein 11
NM_012776_PROBE1	NM_012776	adrenergic receptor kinase, beta 1
NM_012777_PROBE1	NM_012777	apolipoprotein D
NM_012779_PROBE1	NM_012779	aquaporin 5
NM_012780_PROBE1	NM_012780	aryl hydrocarbon receptor nuclear translocator
NM_012786_PROBE1	NM_012786	Cytochrom c oxidase subunit VIII-H (heart/muscle)
NM_012789_PROBE1	NM_012789	dipeptidylpeptidase 4
NM_012790_PROBE1	NM_012790	dentin sialophosphoprotein
NM_012793_PROBE1	NM_012793	guanidinoacetate methyltransferase
NM_012794_PROBE1	NM_012794	glycosylation dependent cell adhesion molecule 1
NM_012795_PROBE1	NM_012795	glycoprotein 5
NM_012797_PROBE1	NM_012797	Inhibitor of DNA binding 1, helix-loop-helix protein (splice variation)
NM_012803_PROBE1	NM_012803	protein C
NM_012804_PROBE1	NM_012804	ATP-binding cassette, sub-family D (ALD), member 3
NM_012806_PROBE1	NM_012806	mitogen activated protein kinase 10
NM_012807_PROBE1	NM_012807	smoothened homolog (Drosophila)
NM_012810_PROBE1	NM_012810	synaptonemal complex protein 1
NM_012811_PROBE1	NM_012811	milk fat globule-EGF factor 8 protein
NM_012812_PROBE1	NM_012812	cytochrome c oxidase, subunit VIa, polypeptide 2
NM_012816_PROBE1	NM_012816	alpha-methylacyl-CoA racemase
NM_012818_PROBE1	NM_012818	arylalkylamine N-acetyltransferase
NM_012819_PROBE1	NM_012819	acetyl-Coenzyme A dehydrogenase, long-chain
NM_012822_PROBE1	NM_012822	arachidonate 5-lipoxygenase
NM_012824_PROBE1	NM_012824	apolipoprotein C-I
NM_012825_PROBE1	NM_012825	aquaporin 4
NM_012826_PROBE1	NM_012826	alpha-2-glycoprotein 1, zinc
NM_012827_PROBE1	NM_012827	bone morphogenetic protein 4
NM_012828_PROBE1	NM_012828	calcium channel, voltage-dependent, beta 3 subunit
NM_012829_PROBE1	NM_012829	Cholecystokinin (Non-specific probe)
NM_012833_PROBE1	NM_012833	ATP-binding cassette, sub-family C (CFTR/MRP), member 2
NM_012834_PROBE1	NM_012834	cartilage oligomeric matrix protein
NM_012835_PROBE1	NM_012835	cortistatin
NM_012836_PROBE1	NM_012836	carboxypeptidase D
NM_012838_PROBE1	NM_012838	cystatin B
NM_012839_PROBE1	NM_012839	Cytochrome c, somatic (Non-specific probe)
NM_012840_PROBE1	NM_012840	Cytochrome c, testis (Non-specific probe)
NM_012841_PROBE1	NM_012841	deleted in colorectal carcinoma
NM_012842_PROBE1	NM_012842	epidermal growth factor
NM_012844_PROBE1	NM_012844	epoxide hydrolase 1
NM_012845_PROBE1	NM_012845	membrane-spanning 4-domains, subfamily A, member 2
NM_012846_PROBE1	NM_012846	fibroblast growth factor 1
NM_012848_PROBE1	NM_012848	ferritin, heavy polypeptide 1
NM_012851_PROBE1	NM_012851	hydroxysteroid (17-beta) dehydrogenase 1
NM_012852_PROBE1	NM_012852	5-hydroxytryptamine (serotonin) receptor 1D
NM_012853_PROBE1	NM_012853	5-hydroxytryptamine (serotonin) receptor 4
NM_012857_PROBE1	NM_012857	lysosomal membrane glycoprotein 1
NM_012862_PROBE1	NM_012862	matrix Gla protein
NM_012866_PROBE1	NM_012866	nuclear transcription factor-Y gamma
NM_012869_PROBE1	NM_012869	neuropeptide Y receptor Y5
NM_012870_PROBE1	NM_012870	tumor necrosis factor receptor superfamily, member 11b (osteoprotegerin)
NM_012874_PROBE1	NM_012874	v-ros UR2 sarcoma virus oncogene homolog 1 (avian)
NM_012875_PROBE1	NM_012875	Ribosomal protein L39 (Non-specific probe)
NM_012878_PROBE1	NM_012878	surfactant associated protein D
NM_012879_PROBE1	NM_012879	solute carrier family 2 (facilitated glucose transporter), member 2
NM_012880_PROBE1	NM_012880	Superoxide dismutase 3 (Non-specific probe)
NM_012881_PROBE1	NM_012881	secreted phosphoprotein 1
NM_012883_PROBE1	NM_012883	sulfotransferase, estrogen preferring
NM_012884_PROBE1	NM_012884	contactin 2
NM_012887_PROBE1	NM_012887	thymopoietin
NM_012889_PROBE1	NM_012889	vascular cell adhesion molecule 1
NM_012891_PROBE1	NM_012891	acyl-Coenzyme A dehydrogenase, very long chain
NM_012892_PROBE1	NM_012892	amiloride-sensitive cation channel 1, neuronal (degenerin)
NM_012896_PROBE1	NM_012896	adenosine A3 receptor
NM_012900_PROBE1	NM_012900	ameloblastin
NM_012903_PROBE1	NM_012903	acidic (leucine-rich) nuclear phosphoprotein 32 family, member A
NM_012904_PROBE1	NM_012904	annexin A1
NM_012905_PROBE1	NM_012905	aortic preferentially expressed gene 1
NM_012907_PROBE1	NM_012907	apolipoprotein B editing complex 1
NM_012908_PROBE1	NM_012908	tumor necrosis factor (ligand) superfamily, member 6
NM_012911_PROBE1	NM_012911	arrestin, beta 2
NM_012913_PROBE1	NM_012913	ATPase, Na+/K+ transporting, beta 3 polypeptide
NM_012916_PROBE1	NM_012916	brevican
NM_012918_PROBE1	NM_012918	calcium channel, voltage-dependent, P/Q type, alpha 1A subunit
NM_012919_PROBE1	NM_012919	calcium channel, voltage-dependent, alpha2/delta subunit 1
NM_012920_PROBE1	NM_012920	calcium/calmodulin-dependent protein kinase II alpha subunit
NM_012921_PROBE1	NM_012921	cartilage homeo protein 1
NM_012923_PROBE1	NM_012923	cyclin G1
NM_012930_PROBE1	NM_012930	carnitine palmitoyltransferase 2
NM_012936_PROBE1	NM_012936	crystallin, beta B1
NM_012938_PROBE1	NM_012938	cathepsin E
NM_012939_PROBE1	NM_012939	cathepsin H
NM_012940_PROBE1	NM_012940	cytochrome P450, family 1, subfamily b, polypeptide 1
NM_012941_PROBE1	NM_012941	cytochrome P450, subfamily 51
NM_012942_PROBE1	NM_012942	cytochrome P450, family 7, subfamily a, polypeptide 1
NM_012946_PROBE1	NM_012946	SPARC-like 1 (mast9, hevin)
NM_012947_PROBE1	NM_012947	eukaryotic elongation factor-2 kinase
NM_012948_PROBE1	NM_012948	emerin
NM_012955_PROBE1	NM_012955	follicle stimulating hormone primary response gene 1
NM_012957_PROBE1	NM_012957	gamma-aminobutyric acid receptor, subunit beta 2
NM_012959_PROBE1	NM_012959	glial cell line derived neurotrophic factor family receptor alpha 1
NM_012960_PROBE1	NM_012960	gamma-glutamyl hydrolase
NM_012963_PROBE1	NM_012963	ESTs (Non-specific probe)
NM_012964_PROBE1	NM_012964	hyaluronan mediated motility receptor
NM_012966_PROBE1	NM_012966	heat shock 10 kDa protein 1
NM_012967_PROBE1	NM_012967	intercellular adhesion molecule 1
NM_012969_PROBE1	NM_012969	insulin receptor substrate 1
NM_012971_PROBE1	NM_012971	potassium voltage-gated channel, shaker-related subfamily, member 4
NM_012972_PROBE1	NM_012972	potassium voltage-gated channel, shaker-related subfamily, member 5
NM_012974_PROBE1	NM_012974	laminin, beta 2
NM_012980_PROBE1	NM_012980	matrix metalloproteinase 11
NM_012981_PROBE1	NM_012981	muscle and microspikes RAS
NM_012982_PROBE1	NM_012982	msh homeo box homolog 2 (Drosophila)
NM_012984_PROBE1	NM_012984	myosin IXb
NM_012985_PROBE1	NM_012985	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex 5
NM_012987_PROBE1	NM_012987	nestin
NM_012992_PROBE1	NM_012992	nucleophosmin 1
NM_012997_PROBE1	NM_012997	purinergic receptor P2X, ligand-gated ion channel, 1
NM_012998_PROBE1	NM_012998	prolyl 4-hydroxylase, beta polypeptide
NM_012999_PROBE1	NM_012999	Subtilisin - like endoprotease
NM_013001_PROBE1	NM_013001	paired box gene 6
NM_013003_PROBE1	NM_013003	phosphatidylethanolamine N-methyltransferase
NM_013004_PROBE1	NM_013004	phosphate regulating gene with homologies to endopeptidases on the X chromosome
NM_013005_PROBE1	NM_013005	phosphatidylinositol 3-kinase, regulatory subunit, polypeptide 1
NM_013006_PROBE1	NM_013006	lysophospholipase 1
NM_013008_PROBE1	NM_013008	POU domain, class 1, transcription factor 1
NM_013012_PROBE1	NM_013012	protein kinase, cGMP-dependent, type II
NM_013015_PROBE1	NM_013015	prostaglandin D2 synthase
NM_013019_PROBE1	NM_013019	RAB4A, member RAS oncogene family
NM_013021_PROBE1	NM_013021	peripherin 2
NM_013022_PROBE1	NM_013022	Rho-associated coiled-coil forming kinase 2
NM_013023_PROBE1	NM_013023	retinal S-antigen
NM_013027_PROBE1	NM_013027	selenoprotein W, muscle 1
NM_013028_PROBE1	NM_013028	short stature homeobox 2
NM_013029_PROBE1	NM_013029	sialyltransferase 8 C
NM_013033_PROBE1	NM_013033	solute carrier family 5 (sodium/glucose cotransporter), member 1
NM_013034_PROBE1	NM_013034	solute carrier family 6 (neurotransmitter transporter, serotonin), member 4
NM_013036_PROBE1	NM_013036	somatostatin receptor 4
NM_013041_PROBE1	NM_013041	synaptonemal complex protein 3
NM_013042_PROBE1	NM_013042	trefoil factor 3
NM_013043_PROBE1	NM_013043	transforming growth factor beta 1 induced transcript 4
NM_013044_PROBE1	NM_013044	tropomodulin 1
NM_013049_PROBE1	NM_013049	tumor necrosis factor receptor superfamily, member 4
NM_013050_PROBE1	NM_013050	Ubiquitin-conjugating enzyme E2I (Non-specific probe)
NM_013051_PROBE1	NM_013051	Secretoglobin, family 1A, member 1 (Non-specific probe)
NM_013052_PROBE1	NM_013052	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, eta polypeptide
NM_013055_PROBE1	NM_013055	mitogen activated protein kinase kinase kinase 12
NM_013057_PROBE1	NM_013057	coagulation factor 3
NM_013058_PROBE1	NM_013058	Inhibitor of DNA binding 3, dominant negative helix-loop-helix protein
NM_013060_PROBE1	NM_013060	Inhibitor of DNA binding 2, dominant negative helix-loop-helix protein
NM_013062_PROBE1	NM_013062	kinase insert domain protein receptor
NM_013063_PROBE1	NM_013063	ADP-ribosyltransferase 1
NM_013064_PROBE1	NM_013064	hypocretin (orexin) receptor 1
NM_013065_PROBE1	NM_013065	protein phosphatase 1, catalytic subunit, beta isoform
NM_013068_PROBE1	NM_013068	fatty acid binding protein 2, intestinal
NM_013069_PROBE1	NM_013069	CD74 antigen (invariant polpypeptide of major histocompatibility class II antigen-associated) (Non-specific probe)
NM_013070_PROBE1	NM_013070	utrophin
NM_013071_PROBE1	NM_013071	opioid receptor, mu 1
NM_013074_PROBE1	NM_013074	hypocretin (orexin) receptor 2
NM_013075_PROBE1	NM_013075	homeo box A1
NM_013076_PROBE1	NM_013076	leptin
NM_013078_PROBE1	NM_013078	ornithine transcarbamylase
NM_013085_PROBE1	NM_013085	plasminogen activator, urokinase
NM_013086_PROBE1	NM_013086	cAMP responsive element modulator
NM_013089_PROBE1	NM_013089	glycogen synthase 2
NM_013090_PROBE1	NM_013090	vesicle-associated membrane protein 1
NM_013091_PROBE1	NM_013091	tumor necrosis factor receptor superfamily, member 1a
NM_013092_PROBE1	NM_013092	chymase 1, mast cell
NM_013094_PROBE1	NM_013094	perilipin
NM_013098_PROBE1	NM_013098	glucose-6-phosphatase, catalytic
NM_013100_PROBE1	NM_013100	prostaglandin E receptor 1
NM_013102_PROBE1	NM_013102	FK506 binding protein 2
NM_013103_PROBE1	NM_013103	transcription factor 2
NM_013104_PROBE1	NM_013104	insulin-like growth factor binding protein 6
NM_013105_PROBE1	NM_013105	cytochrome P450, subfamily 3A, polypeptide 3 and 1
NM_013106_PROBE1	NM_013106	guanine nucleotide binding protein, alpha inhibiting 3
NM_013111_PROBE1	NM_013111	solute carrier family 7 (cationic amino acid transporter, y+ system), member 1
NM_013112_PROBE1	NM_013112	apolipoprotein A-II
NM_013113_PROBE1	NM_013113	ATPase Na+/K+ transporting beta 1 polypeptide (Non-specific probe)
NM_013114_PROBE1	NM_013114	selectin, platelet
NM_013115_PROBE1	NM_013115	prostaglandin F receptor
NM_013120_PROBE1	NM_013120	glucokinase regulatory protein
NM_013121_PROBE1	NM_013121	CD28 antigen
NM_013124_PROBE1	NM_013124	peroxisome proliferator activated receptor, gamma
NM_013126_PROBE1	NM_013126	diacylglycerol kinase, gamma
NM_013127_PROBE1	NM_013127	CD38 antigen
NM_013129_PROBE1	NM_013129	interleukin 15
NM_013130_PROBE1	NM_013130	MAD homolog 1 (Drosophila)
NM_013132_PROBE1	NM_013132	annexin A5
NM_013133_PROBE1	NM_013133	glycine receptor, alpha 1 subunit
NM_013134_PROBE1	NM_013134	3-hydroxy-3-methylglutaryl-Coenzyme A reductase
NM_013135_PROBE1	NM_013135	RAS p21 protein activator 1
NM_013137_PROBE1	NM_013137	discoidin domain receptor family, member 1
NM_013138_PROBE1	NM_013138	inositol 1, 4, 5-triphosphate receptor 3
NM_013139_PROBE1	NM_013139	colipase, pancreatic
NM_013145_PROBE1	NM_013145	guanine nucleotide binding protein, alpha inhibiting 1
NM_013147_PROBE1	NM_013147	chloride channel 1
